#k-distance eigenvalue[eV]
2.74150944 -35.04600000
2.75587555 -35.04720000
2.77024164 -35.04830000
2.78460773 -35.04940000
2.79897384 -35.05050000
2.81333993 -35.05150000
2.82770604 -35.05240000
2.84207213 -35.05340000
2.85643822 -35.05430000
2.87080433 -35.05510000
2.88517042 -35.05590000
2.89953653 -35.05670000
2.91390262 -35.05740000
2.92826871 -35.05810000
2.94263482 -35.05870000
2.95700091 -35.05930000
2.97136700 -35.05980000
2.98573311 -35.06020000
3.00009920 -35.06060000
3.01446531 -35.06100000
3.02883140 -35.06130000
3.04319749 -35.06150000
3.05756360 -35.06170000
3.07192969 -35.06190000
3.08629580 -35.06200000
3.10066189 -35.06200000

0.00000000 -34.87650000
0.01658854 -34.87670000
0.03317705 -34.87720000
0.04976559 -34.87820000
0.06635409 -34.87950000
0.08294264 -34.88120000
0.09953114 -34.88330000
0.11611968 -34.88570000
0.13270819 -34.88850000
0.14929673 -34.89170000
0.16588523 -34.89520000
0.18247377 -34.89900000
0.19906228 -34.90310000
0.21565082 -34.90750000
0.23223932 -34.91230000
0.24882787 -34.91730000
0.26541637 -34.92250000
0.28200491 -34.92810000
0.29859342 -34.93380000
0.31518196 -34.93980000
0.33177046 -34.94600000
0.34835901 -34.95240000
0.36494751 -34.95900000
0.38153605 -34.96570000
0.39812456 -34.97250000
0.41471310 -34.97950000
0.43130160 -34.98660000
0.44789015 -34.99370000
0.46447865 -35.00090000
0.48106719 -35.00820000
0.49765570 -35.01550000
0.51424424 -35.02270000
0.53083274 -35.03000000
0.54742129 -35.02870000
0.56400979 -35.02710000
0.58059833 -35.02540000
0.59718683 -35.02380000
0.61377538 -35.02210000
0.63036388 -35.02050000
0.64695242 -35.01890000
0.66354093 -35.01730000
0.68012947 -35.01570000
0.69671797 -35.01410000
0.71330652 -35.01250000
0.72989502 -35.01090000
0.74648356 -35.00940000
0.76307207 -35.00790000
0.77966061 -35.00650000
0.79624911 -35.00500000
0.81283766 -35.00360000
0.82942616 -35.00220000
0.84601470 -35.00090000
0.86260321 -34.99960000
0.87919175 -34.99840000
0.89578025 -35.00160000
0.91236880 -35.00600000
0.92895730 -35.01040000
0.94554584 -35.01490000
0.96213435 -35.01940000
0.97872289 -35.02390000
0.99531139 -35.02840000
1.01189993 -35.03300000
1.02848844 -35.03760000
1.04507698 -35.04220000
1.06166548 -35.04680000
1.07825403 -35.05140000
1.09484253 -35.05590000
1.11143107 -35.06050000
1.12801958 -35.06500000
1.14460812 -35.06950000
1.16119662 -35.07390000
1.17778517 -35.07820000
1.19437367 -35.08230000
1.21096221 -35.08630000
1.22755072 -35.09010000
1.24413926 -35.09360000
1.26072776 -35.09660000
1.27731631 -35.09900000
1.29390481 -35.10060000
1.31049335 -35.10110000
1.31049335 -35.10110000
1.31878762 -35.10100000
