# energy dos
-3.932670000000000243e+01 0.000000000000000000e+00
-3.914230000000000587e+01 0.000000000000000000e+00
-3.895780000000000598e+01 0.000000000000000000e+00
-3.877340000000000231e+01 0.000000000000000000e+00
-3.858890000000000242e+01 0.000000000000000000e+00
-3.840440000000000254e+01 0.000000000000000000e+00
-3.822000000000000597e+01 0.000000000000000000e+00
-3.803550000000000608e+01 0.000000000000000000e+00
-3.785110000000000241e+01 0.000000000000000000e+00
-3.766660000000000252e+01 0.000000000000000000e+00
-3.748210000000000264e+01 0.000000000000000000e+00
-3.729770000000000607e+01 0.000000000000000000e+00
-3.711320000000000618e+01 0.000000000000000000e+00
-3.692880000000000251e+01 0.000000000000000000e+00
-3.674430000000000263e+01 8.076700000000000657e+00
-3.655980000000000274e+01 2.763500000000000068e+00
-3.637540000000000617e+01 0.000000000000000000e+00
-3.619090000000000629e+01 0.000000000000000000e+00
-3.600650000000000261e+01 0.000000000000000000e+00
-3.582200000000000273e+01 0.000000000000000000e+00
-3.563750000000000284e+01 0.000000000000000000e+00
-3.545310000000000628e+01 0.000000000000000000e+00
-3.526860000000000639e+01 0.000000000000000000e+00
-3.508420000000000272e+01 0.000000000000000000e+00
-3.489970000000000283e+01 0.000000000000000000e+00
-3.471520000000000294e+01 0.000000000000000000e+00
-3.453080000000000638e+01 1.399999999999999986e-03
-3.434630000000000649e+01 9.917799999999999727e+00
-3.416190000000000282e+01 1.176169999999999938e+01
-3.397740000000000293e+01 2.200000000000000133e-03
-3.379290000000000305e+01 0.000000000000000000e+00
-3.360850000000000648e+01 0.000000000000000000e+00
-3.342400000000000659e+01 0.000000000000000000e+00
-3.323960000000000292e+01 0.000000000000000000e+00
-3.305510000000000304e+01 0.000000000000000000e+00
-3.287060000000000315e+01 0.000000000000000000e+00
-3.268620000000000658e+01 0.000000000000000000e+00
-3.250169999999999959e+01 0.000000000000000000e+00
-3.231730000000000302e+01 0.000000000000000000e+00
-3.213280000000000314e+01 0.000000000000000000e+00
-3.194829999999999970e+01 0.000000000000000000e+00
-3.176389999999999603e+01 0.000000000000000000e+00
-3.157939999999999614e+01 0.000000000000000000e+00
-3.139499999999999957e+01 0.000000000000000000e+00
-3.121049999999999969e+01 0.000000000000000000e+00
-3.102599999999999980e+01 0.000000000000000000e+00
-3.084159999999999613e+01 0.000000000000000000e+00
-3.065709999999999624e+01 0.000000000000000000e+00
-3.047269999999999968e+01 0.000000000000000000e+00
-3.028819999999999979e+01 0.000000000000000000e+00
-3.010369999999999990e+01 0.000000000000000000e+00
-2.991929999999999623e+01 0.000000000000000000e+00
-2.973479999999999634e+01 0.000000000000000000e+00
-2.955039999999999978e+01 0.000000000000000000e+00
-2.936589999999999989e+01 0.000000000000000000e+00
-2.918140000000000001e+01 0.000000000000000000e+00
-2.899699999999999633e+01 0.000000000000000000e+00
-2.881249999999999645e+01 0.000000000000000000e+00
-2.862809999999999988e+01 0.000000000000000000e+00
-2.844359999999999999e+01 0.000000000000000000e+00
-2.825910000000000011e+01 0.000000000000000000e+00
-2.807469999999999644e+01 0.000000000000000000e+00
-2.789019999999999655e+01 0.000000000000000000e+00
-2.770579999999999998e+01 0.000000000000000000e+00
-2.752130000000000010e+01 0.000000000000000000e+00
-2.733680000000000021e+01 0.000000000000000000e+00
-2.715239999999999654e+01 0.000000000000000000e+00
-2.696789999999999665e+01 0.000000000000000000e+00
-2.678350000000000009e+01 0.000000000000000000e+00
-2.659900000000000020e+01 0.000000000000000000e+00
-2.641450000000000031e+01 0.000000000000000000e+00
-2.623010000000000019e+01 0.000000000000000000e+00
-2.604560000000000031e+01 0.000000000000000000e+00
-2.586120000000000019e+01 0.000000000000000000e+00
-2.567670000000000030e+01 0.000000000000000000e+00
-2.549220000000000041e+01 0.000000000000000000e+00
-2.530780000000000030e+01 0.000000000000000000e+00
-2.512330000000000041e+01 0.000000000000000000e+00
