# energy dos(up) dos(down)
-3.763989999999999725e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.762949999999999307e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.761899999999999977e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.760850000000000648e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.759799999999999898e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.758759999999999479e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.757710000000000150e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.756659999999999400e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.755620000000000402e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.754569999999999652e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.753520000000000323e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.752469999999999573e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.751430000000000575e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.750379999999999825e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.749330000000000496e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.748279999999999745e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.747239999999999327e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.746189999999999998e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.745140000000000668e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.744100000000000250e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.743049999999999500e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.742000000000000171e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.740949999999999420e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.739910000000000423e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.738859999999999673e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.737810000000000343e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.736769999999999925e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.735720000000000596e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.734669999999999845e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.733620000000000516e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.732580000000000098e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.731529999999999347e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.730480000000000018e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.729439999999999600e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.728390000000000271e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.727339999999999520e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.726290000000000191e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.725249999999999773e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.724200000000000443e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.723149999999999693e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.722100000000000364e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.721059999999999945e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.720010000000000616e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.718959999999999866e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.717919999999999447e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.716870000000000118e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.715819999999999368e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.714770000000000039e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.713729999999999620e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.712680000000000291e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.711629999999999541e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.710590000000000543e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.709539999999999793e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.708490000000000464e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.707439999999999714e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.706399999999999295e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.705349999999999966e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.704300000000000637e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.703260000000000218e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.702209999999999468e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.701160000000000139e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.700109999999999388e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.699070000000000391e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.698019999999999641e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.696970000000000312e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.695919999999999561e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.694880000000000564e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.693829999999999814e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.692780000000000484e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.691740000000000066e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.690689999999999316e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.689639999999999986e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.688590000000000657e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.687550000000000239e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.686499999999999488e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.685450000000000159e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.684409999999999741e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.683360000000000412e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.682309999999999661e+01 0.000000000000000000e+00 -0.000000000000000000e+00
