#k-distance eigenvalue[eV]
2.76920145 -35.00900000
2.78371267 -35.01030000
2.79822388 -35.01160000
2.81273508 -35.01280000
2.82724630 -35.01400000
2.84175750 -35.01520000
2.85626873 -35.01630000
2.87077993 -35.01730000
2.88529113 -35.01830000
2.89980235 -35.01930000
2.91431355 -35.02020000
2.92882478 -35.02100000
2.94333598 -35.02180000
2.95784718 -35.02260000
2.97235840 -35.02330000
2.98686960 -35.02390000
3.00138080 -35.02450000
3.01589203 -35.02500000
3.03040323 -35.02550000
3.04491445 -35.02590000
3.05942565 -35.02620000
3.07393686 -35.02650000
3.08844808 -35.02670000
3.10295928 -35.02690000
3.11747051 -35.02700000
3.13198171 -35.02700000

0.00000000 -34.80580000
0.01675610 -34.80600000
0.03351217 -34.80670000
0.05026827 -34.80770000
0.06702434 -34.80920000
0.08378044 -34.81110000
0.10053650 -34.81340000
0.11729261 -34.81610000
0.13404867 -34.81930000
0.15080478 -34.82280000
0.16756084 -34.82660000
0.18431694 -34.83090000
0.20107301 -34.83550000
0.21782911 -34.84040000
0.23458518 -34.84570000
0.25134128 -34.85130000
0.26809734 -34.85720000
0.28485345 -34.86340000
0.30160951 -34.86980000
0.31836562 -34.87650000
0.33512168 -34.88340000
0.35187778 -34.89050000
0.36863385 -34.89780000
0.38538995 -34.90530000
0.40214602 -34.91290000
0.41890212 -34.92070000
0.43565818 -34.92860000
0.45241429 -34.93650000
0.46917035 -34.94460000
0.48592646 -34.95260000
0.50268252 -34.96070000
0.51943862 -34.96880000
0.53619469 -34.97690000
0.55295079 -34.98500000
0.56970686 -34.98770000
0.58646296 -34.98580000
0.60321902 -34.98400000
0.61997513 -34.98210000
0.63673119 -34.98030000
0.65348730 -34.97850000
0.67024336 -34.97660000
0.68699946 -34.97480000
0.70375553 -34.97300000
0.72051163 -34.97130000
0.73726770 -34.96950000
0.75402380 -34.96780000
0.77077986 -34.96610000
0.78753597 -34.96450000
0.80429203 -34.96290000
0.82104814 -34.96130000
0.83780420 -34.95970000
0.85456030 -34.95820000
0.87131637 -34.95680000
0.88807247 -34.95540000
0.90482854 -34.95400000
0.92158464 -34.95270000
0.93834070 -34.95490000
0.95509681 -34.95980000
0.97185287 -34.96480000
0.98860898 -34.96990000
1.00536504 -34.97490000
1.02212114 -34.98000000
1.03887721 -34.98510000
1.05563331 -34.99020000
1.07238938 -34.99540000
1.08914548 -35.00050000
1.10590154 -35.00560000
1.12265765 -35.01060000
1.13941371 -35.01570000
1.15616982 -35.02070000
1.17292588 -35.02560000
1.18968198 -35.03040000
1.20643805 -35.03500000
1.22319415 -35.03950000
1.23995022 -35.04370000
1.25670632 -35.04760000
1.27346238 -35.05090000
1.29021849 -35.05360000
1.30697455 -35.05540000
1.32373066 -35.05600000
1.32373066 -35.05600000
1.33210871 -35.05590000
1.34048674 -35.05540000
1.34886480 -35.05460000
1.35724283 -35.05350000
1.36562088 -35.05220000
1.37399892 -35.05060000
1.38237697 -35.04880000
1.39075500 -35.04690000
1.39913306 -35.04470000
1.40751109 -35.04250000
1.41588914 -35.04010000
1.42426718 -35.03760000
1.43264523 -35.03510000
1.44102327 -35.03240000
1.44940132 -35.02970000
1.45777935 -35.02700000
1.46615741 -35.02410000
1.47453544 -35.02130000
1.48291349 -35.01840000
1.49129153 -35.01550000
1.49966958 -35.01250000
1.50804761 -35.00960000
1.51642567 -35.00660000
1.52480370 -35.00360000
1.53318176 -35.00060000
1.54155979 -34.99750000
1.54993784 -34.99450000
1.55831588 -34.99150000
1.56669393 -34.98850000
1.57507196 -34.98550000
1.58345002 -34.98250000
1.59182805 -34.97950000
1.60020610 -34.97660000
1.60858414 -34.97360000
1.61696219 -34.97070000
1.62534023 -34.96780000
1.63371828 -34.96500000
1.64209631 -34.96210000
1.65047437 -34.95930000
1.65885240 -34.95660000
1.66723045 -34.95380000
1.67560849 -34.95110000
1.68398654 -34.94850000
1.69236457 -34.94590000
1.70074263 -34.94410000
1.70912066 -34.94430000
1.71749871 -34.94450000
1.72587675 -34.94460000
1.73425480 -34.94480000
1.74263284 -34.94500000
1.75101089 -34.94520000
1.75938892 -34.94530000
1.76776698 -34.94550000
1.77614501 -34.94560000
1.78452306 -34.94580000
1.79290110 -34.94590000
1.80127915 -34.94610000
1.80965718 -34.94620000
1.81803524 -34.94630000
1.82641327 -34.94650000
1.83479133 -34.94660000
1.84316936 -34.94670000
1.85154741 -34.94680000
1.85992545 -34.94690000
1.86830350 -34.94700000
1.87668153 -34.94710000
1.88505959 -34.94720000
1.89343762 -34.94720000
1.90181567 -34.94730000
1.91019371 -34.94740000
1.91857176 -34.94740000
1.92694980 -34.94750000
1.93532785 -34.94750000
1.94370588 -34.94760000
1.95208394 -34.94760000
1.96046197 -34.94760000
1.96884002 -34.94760000
1.97721806 -34.94770000
1.98559611 -34.94770000
1.98559611 -34.94770000
2.00010731 -34.94770000
2.01461854 -34.94780000
2.02912974 -34.94790000
2.04364096 -34.94820000
2.05815216 -34.94840000
2.07266336 -34.94880000
2.08717459 -34.94920000
2.10168579 -34.94970000
2.11619701 -34.95020000
2.13070821 -34.95080000
2.14521941 -34.95140000
2.15973064 -34.95210000
2.17424184 -34.95290000
2.18875304 -34.95370000
2.20326426 -34.95460000
2.21777547 -34.95550000
2.23228669 -34.95640000
2.24679789 -34.95750000
2.26130909 -34.95850000
2.27582032 -34.95960000
2.29033152 -34.96080000
2.30484274 -34.96200000
2.31935394 -34.96320000
2.33386514 -34.96450000
2.34837637 -34.96580000
2.36288757 -34.96710000
2.37739879 -34.96850000
2.39190999 -34.96990000
2.40642119 -34.97140000
2.42093242 -34.97280000
2.43544362 -34.97430000
2.44995484 -34.97580000
2.46446604 -34.97730000
2.47897725 -34.97890000
2.49348847 -34.98040000
2.50799967 -34.98200000
2.52251089 -34.98350000
2.53702210 -34.98510000
2.55153330 -34.98670000
2.56604452 -34.98820000
2.58055572 -34.98980000
2.59506692 -34.98530000
2.60957815 -34.97760000
2.62408935 -34.96990000
2.63860057 -34.96220000
2.65311177 -34.95460000
2.66762297 -34.94700000
2.68213420 -34.93950000
2.69664540 -34.93220000
2.71115662 -34.92490000
2.72566782 -34.91780000
2.74017903 -34.91070000
2.75469025 -34.90390000
2.76920145 -34.89710000
2.78371267 -34.89060000
2.79822388 -34.88420000
2.81273508 -34.87800000
2.82724630 -34.87200000
2.84175750 -34.86620000
2.85626873 -34.86060000
2.87077993 -34.85530000
2.88529113 -34.85020000
2.89980235 -34.84530000
2.91431355 -34.84070000
2.92882478 -34.83630000
2.94333598 -34.83220000
2.95784718 -34.82840000
2.97235840 -34.82480000
2.98686960 -34.82160000
3.00138080 -34.81860000
3.01589203 -34.81600000
3.03040323 -34.81360000
3.04491445 -34.81150000
3.05942565 -34.80980000
3.07393686 -34.80840000
3.08844808 -34.80720000
3.10295928 -34.80640000
3.11747051 -34.80600000
3.13198171 -34.80580000

0.00000000 -34.80580000
0.01675610 -34.80580000
0.03351217 -34.80600000
0.05026827 -34.80620000
0.06702434 -34.80660000
0.08378044 -34.80700000
0.10053650 -34.80750000
0.11729261 -34.80820000
0.13404867 -34.80890000
0.15080478 -34.80970000
0.16756084 -34.81060000
0.18431694 -34.81160000
0.20107301 -34.81280000
0.21782911 -34.81400000
0.23458518 -34.81530000
0.25134128 -34.81670000
0.26809734 -34.81820000
0.28485345 -34.81980000
0.30160951 -34.82150000
0.31836562 -34.82330000
0.33512168 -34.82520000
0.35187778 -34.82720000
0.36863385 -34.82930000
0.38538995 -34.83150000
0.40214602 -34.83380000
0.41890212 -34.83620000
0.43565818 -34.83870000
0.45241429 -34.84120000
0.46917035 -34.84390000
0.48592646 -34.84670000
0.50268252 -34.84960000
0.51943862 -34.85260000
0.53619469 -34.85560000
0.55295079 -34.85880000
0.56970686 -34.86210000
