#k-distance eigenvalue[eV]
0.00000000 -36.61680000
0.01101256 -36.61690000
0.02202512 -36.61690000
0.03303764 -36.61700000
0.04405019 -36.61720000
0.05506275 -36.61740000
0.06607531 -36.61760000
0.07708783 -36.61790000
0.08810039 -36.61830000
0.09911295 -36.61870000
0.11012551 -36.61910000
0.12113802 -36.61950000
0.13215058 -36.62010000
0.14316314 -36.62060000
0.15417570 -36.62120000
0.16518822 -36.62190000
0.17620078 -36.62260000
0.18721334 -36.62330000
0.19822589 -36.62410000
0.20923845 -36.62490000
0.22025097 -36.62570000
0.23126353 -36.62660000
0.24227609 -36.62760000
0.25328865 -36.62850000
0.26430117 -36.62950000
0.27531372 -36.63060000
0.28632628 -36.63170000
0.29733884 -36.63280000
0.30835136 -36.63400000
0.31936392 -36.63520000
0.33037648 -36.63640000
0.34138904 -36.63770000
0.35240156 -36.63900000
0.36341411 -36.64030000
0.37442667 -36.64170000
0.38543923 -36.64310000
0.39645179 -36.64450000
0.40746431 -36.64600000
0.41847687 -36.64750000
0.42948942 -36.64900000
0.44050198 -36.65050000
0.45151450 -36.65200000
0.46252706 -36.65360000
0.47353962 -36.65520000
0.48455218 -36.65680000
0.49556470 -36.65850000
0.50657726 -36.66010000
0.51758981 -36.66180000
0.52860237 -36.66350000
0.53961489 -36.66520000
0.55062745 -36.66690000
0.56164001 -36.66860000
0.57265257 -36.67030000
0.58366512 -36.67200000
0.59467764 -36.67380000
0.60569020 -36.67550000
0.61670276 -36.67720000
0.62771532 -36.67900000
0.63872784 -36.68070000
0.64974040 -36.68250000
0.66075296 -36.68420000
0.67176551 -36.68590000
0.68277803 -36.68770000
0.69379059 -36.68940000
0.70480315 -36.69110000
0.71581571 -36.69280000
0.72682823 -36.69450000
0.73784079 -36.69610000
0.74885334 -36.69780000
0.75986590 -36.69940000
0.77087846 -36.70110000
0.78189098 -36.70270000
0.79290354 -36.70420000
0.80391610 -36.70580000
0.81492866 -36.70730000
0.82594117 -36.70880000
0.83695373 -36.71030000
0.84796629 -36.71180000
0.85897885 -36.71320000
0.86999137 -36.71460000
0.88100393 -36.71600000
0.89201649 -36.71740000
0.90302904 -36.71870000
0.91404156 -36.72000000
0.92505412 -36.72120000
0.93606668 -36.72240000
0.94707924 -36.72360000
0.95809180 -36.72470000
0.96910432 -36.72590000
0.98011687 -36.72690000
0.99112943 -36.72800000
1.00214199 -36.72900000
1.01315451 -36.72990000
1.02416707 -36.73090000
1.03517963 -36.73170000
1.04619219 -36.73260000
1.05720470 -36.73340000
1.06821726 -36.73420000
1.07922982 -36.73490000
1.09024238 -36.73560000
1.10125490 -36.73630000
1.11226746 -36.73690000
1.12328002 -36.73750000
1.13429257 -36.73800000
1.14530513 -36.73860000
1.15631765 -36.73900000
1.16733021 -36.73950000
1.17834277 -36.73990000
1.18935533 -36.74020000
1.20036785 -36.74060000
1.21138040 -36.74090000
1.22239296 -36.74110000
1.23340552 -36.74130000
1.24441804 -36.74150000
1.25543060 -36.74170000
1.26644316 -36.74180000
1.27745572 -36.74190000
1.28846824 -36.74200000
1.29948079 -36.74210000
1.31049335 -36.74210000
1.31049335 -36.74210000
1.31599963 -36.74210000
1.32150595 -36.74210000
1.32701223 -36.74200000
1.33251851 -36.74200000
1.33802483 -36.74200000
1.34353111 -36.74190000
1.34903739 -36.74190000
1.35454366 -36.74190000
1.36004998 -36.74180000
1.36555626 -36.74170000
1.37106254 -36.74170000
1.37656886 -36.74160000
1.38207514 -36.74150000
1.38758142 -36.74140000
1.39308774 -36.74140000
1.39859402 -36.74130000
1.40410030 -36.74120000
1.40960657 -36.74110000
1.41511289 -36.74090000
1.42061917 -36.74080000
1.42612545 -36.74070000
1.43163177 -36.74060000
1.43713805 -36.74050000
1.44264433 -36.74030000
1.44815065 -36.74020000
1.45365693 -36.74000000
1.45916321 -36.73990000
1.46466948 -36.73980000
1.47017580 -36.73960000
1.47568208 -36.73940000
1.48118836 -36.73930000
1.48669468 -36.73910000
1.49220096 -36.73900000
1.49770724 -36.73880000
1.50321356 -36.73860000
1.50871984 -36.73840000
1.51422612 -36.73830000
1.51973239 -36.73810000
1.52523871 -36.73790000
1.53074499 -36.73770000
1.53625127 -36.73750000
1.54175759 -36.73730000
1.54726387 -36.73710000
1.55277015 -36.73690000
1.55827647 -36.73670000
1.56378275 -36.73650000
1.56928903 -36.73630000
1.57479534 -36.73610000
1.58030162 -36.73590000
1.58580790 -36.73570000
1.59131418 -36.73550000
1.59682050 -36.73530000
1.60232678 -36.73510000
1.60783306 -36.73480000
1.61333938 -36.73460000
1.61884566 -36.73440000
1.62435194 -36.73420000
1.62985825 -36.73400000
1.63536453 -36.73380000
1.64087081 -36.73350000
1.64637709 -36.73330000
1.65188341 -36.73310000
1.65738969 -36.73290000
1.66289597 -36.73270000
1.66840229 -36.73240000
1.67390857 -36.73220000
1.67941485 -36.73200000
1.68492116 -36.73180000
1.69042744 -36.73150000
1.69593372 -36.73130000
1.70144000 -36.73110000
1.70694632 -36.73090000
1.71245260 -36.73060000
1.71795888 -36.73040000
1.72346520 -36.73020000
1.72897148 -36.73000000
1.73447776 -36.72980000
1.73998407 -36.72950000
1.74549035 -36.72930000
1.75099663 -36.72910000
1.75650295 -36.72890000
1.76200923 -36.72870000
1.76751551 -36.72850000
1.77302179 -36.72820000
1.77852811 -36.72800000
1.78403439 -36.72780000
1.78954067 -36.72760000
1.79504698 -36.72740000
1.80055326 -36.72720000
1.80605954 -36.72700000
1.81156586 -36.72680000
1.81707214 -36.72660000
1.82257842 -36.72640000
1.82808470 -36.72620000
1.83359102 -36.72600000
1.83909730 -36.72580000
1.84460358 -36.72560000
1.85010989 -36.72540000
1.85561617 -36.72520000
1.86112245 -36.72500000
1.86662877 -36.72480000
1.87213505 -36.72460000
1.87764133 -36.72440000
1.88314761 -36.72420000
1.88865393 -36.72410000
1.89416021 -36.72390000
1.89966649 -36.72370000
1.90517280 -36.72350000
1.91067908 -36.72340000
1.91618536 -36.72320000
1.92169168 -36.72300000
1.92719796 -36.72280000
1.93270424 -36.72270000
1.93821052 -36.72250000
1.94371684 -36.72240000
1.94922312 -36.72220000
1.95472940 -36.72210000
1.96023571 -36.72190000
